input_size,hidden_units,dropout,learning_rate,n_ahead,val_split,epochs,verbose,plot,mse,mean_training_loss,std_training_loss,mean_val_loss,std_val_loss
3,100,True,4e-05,10,0.2,10,False,False,31.02856972951502,1.8526459029999386e-06,2.048814015779032e-06,0.11445543617010116,0.0016042906254192008
3,100,False,4e-05,10,0.2,10,False,False,30.542892226789576,8.179320644785549e-07,1.6079978242354422e-06,0.0937037155032158,0.0025139733561415916
3,"[100, 50]",True,4e-05,10,0.2,10,False,False,31.642530003513315,1.7239752594377933e-05,2.2194441410458313e-05,0.1051463469862938,0.005091611913500877
3,"[100, 50]",False,4e-05,10,0.2,10,False,False,30.978122686359363,1.5217838141623473e-06,1.7937083586634569e-06,0.10219916477799415,0.0025744424165579306
3,"[100, 50, 50]",True,4e-05,10,0.2,10,False,False,31.310938946168353,6.690303780487738e-06,4.7286882012816e-06,0.10388734489679337,0.002046611547481909
3,"[100, 50, 50]",False,4e-05,10,0.2,10,False,False,30.744982724632376,1.3266616846863144e-06,3.5505775053451058e-06,0.10222033709287644,0.0018698941396461783
30,100,True,4e-05,10,0.2,10,False,False,29.543115133331334,1.3527819469061343e-07,1.4714405288332136e-07,0.09612625241279601,0.00017387751452077588
30,100,False,4e-05,10,0.2,10,False,False,32.15629876738908,4.109273432639782e-09,3.5088724363497783e-09,0.11748686507344246,0.00022712347363123498
30,"[100, 50]",True,4e-05,10,0.2,10,False,False,30.01137854099151,2.8628785955220335e-07,3.0039241911432366e-07,0.10815346762537956,0.00022532588543156275
30,"[100, 50]",False,4e-05,10,0.2,10,False,False,30.282622686016964,1.6043909562002412e-09,3.905287312425393e-09,0.11220502853393555,2.7378448309901322e-05
30,"[100, 50, 50]",True,4e-05,10,0.2,10,False,False,34.00631431951537,3.261970661583291e-07,3.2666704019465093e-07,0.12183479443192483,0.00046162901982324295
30,"[100, 50, 50]",False,4e-05,10,0.2,10,False,False,32.796709792054294,4.396801371233251e-09,1.0349585502743303e-08,0.11767643466591834,0.0002226700725876178
70,100,True,4e-05,10,0.2,10,False,False,22.070858598960932,0.001987425913102925,0.00010856319189985333,0.11173069700598717,0.009412165613667655
70,100,False,4e-05,10,0.2,10,False,False,16.62122803666361,0.0017927246168255805,9.747002726488053e-05,0.09316562414169312,0.008056027942148852
70,"[100, 50]",True,4e-05,10,0.2,10,False,False,18.803771185541443,0.0020192421623505654,5.703552679613087e-05,0.10556839853525161,0.0075009144726441036
70,"[100, 50]",False,4e-05,10,0.2,10,False,False,15.975974036436899,0.0019179865950718523,8.075308486309952e-05,0.0983724907040596,0.009649145783648568
70,"[100, 50, 50]",True,4e-05,10,0.2,10,False,False,26.47224650310509,0.0020792274735867977,3.49597422584543e-05,0.12434225454926491,0.005059558824465541
70,"[100, 50, 50]",False,4e-05,10,0.2,10,False,False,23.094063860444273,0.002036798291373998,5.857506477106627e-05,0.10886674150824546,0.002971425043468942
