,number_of_commits,number_of_unique_committers,week,repoID
0,5,1,2015-04-12 00:00:00+00:00,33628160
1,0,0,2015-04-19 00:00:00+00:00,33628160
2,0,0,2015-04-26 00:00:00+00:00,33628160
3,0,0,2015-05-03 00:00:00+00:00,33628160
4,0,0,2015-05-10 00:00:00+00:00,33628160
5,0,0,2015-05-17 00:00:00+00:00,33628160
6,1,1,2015-05-24 00:00:00+00:00,33628160
7,10,2,2015-05-31 00:00:00+00:00,33628160
8,0,0,2015-06-07 00:00:00+00:00,33628160
9,7,2,2015-06-14 00:00:00+00:00,33628160
10,4,2,2015-06-21 00:00:00+00:00,33628160
11,5,2,2015-06-28 00:00:00+00:00,33628160
12,7,2,2015-07-05 00:00:00+00:00,33628160
13,2,1,2015-07-12 00:00:00+00:00,33628160
14,0,0,2015-07-19 00:00:00+00:00,33628160
15,4,3,2015-07-26 00:00:00+00:00,33628160
16,7,4,2015-08-02 00:00:00+00:00,33628160
17,5,3,2015-08-09 00:00:00+00:00,33628160
18,0,0,2015-08-16 00:00:00+00:00,33628160
19,0,0,2015-08-23 00:00:00+00:00,33628160
20,14,2,2015-08-30 00:00:00+00:00,33628160
21,0,0,2015-09-06 00:00:00+00:00,33628160
22,1,1,2015-09-13 00:00:00+00:00,33628160
23,1,1,2015-09-20 00:00:00+00:00,33628160
24,4,2,2015-09-27 00:00:00+00:00,33628160
25,2,2,2015-10-04 00:00:00+00:00,33628160
26,2,2,2015-10-11 00:00:00+00:00,33628160
27,0,0,2015-10-18 00:00:00+00:00,33628160
28,3,2,2015-10-25 00:00:00+00:00,33628160
29,0,0,2015-11-01 00:00:00+00:00,33628160
30,0,0,2015-11-08 00:00:00+00:00,33628160
31,0,0,2015-11-15 00:00:00+00:00,33628160
32,0,0,2015-11-22 00:00:00+00:00,33628160
33,0,0,2015-11-29 00:00:00+00:00,33628160
34,0,0,2015-12-06 00:00:00+00:00,33628160
35,0,0,2015-12-13 00:00:00+00:00,33628160
36,8,2,2015-12-20 00:00:00+00:00,33628160
37,0,0,2015-12-27 00:00:00+00:00,33628160
38,0,0,2016-01-03 00:00:00+00:00,33628160
39,0,0,2016-01-10 00:00:00+00:00,33628160
40,0,0,2016-01-17 00:00:00+00:00,33628160
41,0,0,2016-01-24 00:00:00+00:00,33628160
42,0,0,2016-01-31 00:00:00+00:00,33628160
43,0,0,2016-02-07 00:00:00+00:00,33628160
44,0,0,2016-02-14 00:00:00+00:00,33628160
45,0,0,2016-02-21 00:00:00+00:00,33628160
46,0,0,2016-02-28 00:00:00+00:00,33628160
47,2,2,2016-03-06 00:00:00+00:00,33628160
48,3,1,2016-03-13 00:00:00+00:00,33628160
49,0,0,2016-03-20 00:00:00+00:00,33628160
50,3,2,2016-03-27 00:00:00+00:00,33628160
51,1,1,2016-04-03 00:00:00+00:00,33628160
52,0,0,2016-04-10 00:00:00+00:00,33628160
53,0,0,2016-04-17 00:00:00+00:00,33628160
54,0,0,2016-04-24 00:00:00+00:00,33628160
55,0,0,2016-05-01 00:00:00+00:00,33628160
56,0,0,2016-05-08 00:00:00+00:00,33628160
57,0,0,2016-05-15 00:00:00+00:00,33628160
58,0,0,2016-05-22 00:00:00+00:00,33628160
59,0,0,2016-05-29 00:00:00+00:00,33628160
60,0,0,2016-06-05 00:00:00+00:00,33628160
61,0,0,2016-06-12 00:00:00+00:00,33628160
62,0,0,2016-06-19 00:00:00+00:00,33628160
63,0,0,2016-06-26 00:00:00+00:00,33628160
64,0,0,2016-07-03 00:00:00+00:00,33628160
65,0,0,2016-07-10 00:00:00+00:00,33628160
66,0,0,2016-07-17 00:00:00+00:00,33628160
67,0,0,2016-07-24 00:00:00+00:00,33628160
68,0,0,2016-07-31 00:00:00+00:00,33628160
69,3,2,2016-08-07 00:00:00+00:00,33628160
70,0,0,2016-08-14 00:00:00+00:00,33628160
71,0,0,2016-08-21 00:00:00+00:00,33628160
72,3,3,2016-08-28 00:00:00+00:00,33628160
73,0,0,2016-09-04 00:00:00+00:00,33628160
74,0,0,2016-09-11 00:00:00+00:00,33628160
75,0,0,2016-09-18 00:00:00+00:00,33628160
76,5,3,2016-09-25 00:00:00+00:00,33628160
77,0,0,2016-10-02 00:00:00+00:00,33628160
78,0,0,2016-10-09 00:00:00+00:00,33628160
79,0,0,2016-10-16 00:00:00+00:00,33628160
