,number_of_pushes,number_of_forks,number_of_pulls,number_of_Bookmarks,issue_comment_count,issue_author_count,commit_comment_count,commit_author_count,number_of_issues,week,repoID
0,16.0,0.0,9.0,5.0,4.0,3.0,0.0,0.0,0.0,2019-04-21,156630873
1,67.0,0.0,20.0,2.0,13.0,8.0,0.0,0.0,0.0,2019-04-28,156630873
2,55.0,0.0,23.0,0.0,7.0,5.0,0.0,0.0,0.0,2019-05-05,156630873
3,29.0,1.0,7.0,1.0,3.0,2.0,0.0,0.0,0.0,2019-05-12,156630873
4,37.0,0.0,5.0,1.0,3.0,3.0,0.0,0.0,0.0,2019-05-19,156630873
5,20.0,0.0,10.0,0.0,3.0,3.0,0.0,0.0,0.0,2019-05-26,156630873
6,29.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-02,156630873
7,80.0,0.0,19.0,0.0,3.0,2.0,1.0,1.0,0.0,2019-06-09,156630873
8,74.0,0.0,25.0,0.0,5.0,4.0,0.0,0.0,0.0,2019-06-16,156630873
9,15.0,1.0,8.0,1.0,2.0,2.0,0.0,0.0,0.0,2019-06-23,156630873
10,23.0,0.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,2019-06-30,156630873
11,27.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,2019-07-07,156630873
12,37.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,2019-07-14,156630873
13,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-21,156630873
14,24.0,0.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,2019-07-28,156630873
15,15.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2019-08-04,156630873
16,31.0,0.0,14.0,2.0,4.0,4.0,0.0,0.0,0.0,2019-08-11,156630873
17,18.0,1.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,2019-08-18,156630873
18,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-25,156630873
19,25.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2019-09-01,156630873
20,28.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-08,156630873
21,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-15,156630873
22,14.0,1.0,9.0,0.0,5.0,5.0,0.0,0.0,0.0,2019-09-22,156630873
23,37.0,0.0,31.0,0.0,9.0,6.0,0.0,0.0,0.0,2019-09-29,156630873
24,29.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-06,156630873
25,25.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-13,156630873
26,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-20,156630873
27,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-27,156630873
28,19.0,0.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,2019-11-03,156630873
29,37.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,2019-11-10,156630873
30,25.0,1.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,2019-11-17,156630873
31,57.0,0.0,24.0,0.0,4.0,4.0,0.0,0.0,0.0,2019-11-24,156630873
32,17.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,2019-12-01,156630873
33,11.0,0.0,9.0,0.0,6.0,4.0,0.0,0.0,0.0,2019-12-08,156630873
34,28.0,1.0,15.0,2.0,11.0,7.0,0.0,0.0,0.0,2019-12-15,156630873
35,8.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,2019-12-22,156630873
36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-29,156630873
37,14.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-05,156630873
38,18.0,1.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,2020-01-12,156630873
39,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-19,156630873
40,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2015-01-04,7567432
41,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2015-01-11,7567432
42,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2015-01-18,7567432
43,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2015-01-25,7567432
44,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2015-02-01,7567432
45,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2015-02-08,7567432
46,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2015-02-15,7567432
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-02-22,7567432
48,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2015-03-01,7567432
49,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2015-03-08,7567432
50,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2015-03-15,7567432
51,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2015-03-22,7567432
52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-03-29,7567432
53,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2015-04-05,7567432
54,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2015-04-12,7567432
55,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2015-04-19,7567432
56,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2015-04-26,7567432
57,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2015-05-03,7567432
58,4.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,2015-05-10,7567432
59,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2015-05-17,7567432
60,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2015-05-24,7567432
61,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2015-05-31,7567432
62,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2015-06-07,7567432
63,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-06-14,7567432
64,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2015-06-21,7567432
65,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2015-06-28,7567432
66,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2015-07-05,7567432
67,0.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,2015-07-12,7567432
68,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2015-07-19,7567432
69,0.0,1.0,0.0,3.0,0.0,0.0,5.0,1.0,0.0,2015-07-26,7567432
70,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2015-08-02,7567432
71,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2015-08-09,7567432
72,0.0,0.0,1.0,5.0,2.0,2.0,0.0,0.0,0.0,2015-08-16,7567432
73,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,2015-08-23,7567432
74,3.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,2015-08-30,7567432
75,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2015-09-06,7567432
76,10.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2015-09-13,7567432
77,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2015-09-20,7567432
78,12.0,0.0,1.0,7.0,7.0,5.0,1.0,1.0,0.0,2015-09-27,7567432
79,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2015-10-04,7567432
80,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2015-10-11,7567432
81,9.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,0.0,2015-10-18,7567432
82,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2015-10-25,7567432
83,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2015-11-01,7567432
84,3.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2015-11-08,7567432
85,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2015-11-15,7567432
86,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2015-11-22,7567432
87,1.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,2015-11-29,7567432
88,1.0,1.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,2015-12-06,7567432
89,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2015-12-13,7567432
90,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2015-12-20,7567432
91,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2015-12-27,7567432
92,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2016-01-03,7567432
93,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2016-01-10,7567432
94,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2016-01-17,7567432
95,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,2016-01-24,7567432
96,1.0,0.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,2016-01-31,7567432
97,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2016-02-07,7567432
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-02-14,7567432
99,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2016-02-21,7567432
100,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2016-02-28,7567432
101,10.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,2016-03-06,7567432
102,5.0,0.0,2.0,4.0,3.0,2.0,0.0,0.0,0.0,2016-03-13,7567432
103,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2016-03-20,7567432
104,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2016-03-27,7567432
105,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-04-03,7567432
106,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,2016-04-10,7567432
107,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2016-04-17,7567432
108,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2016-04-24,7567432
109,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2016-05-01,7567432
110,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2016-05-08,7567432
111,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2016-05-15,7567432
112,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2016-05-22,7567432
113,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2016-05-29,7567432
114,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2016-06-05,7567432
115,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2016-06-12,7567432
116,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2016-06-19,7567432
117,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2016-06-26,7567432
118,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2016-07-03,7567432
119,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2016-07-10,7567432
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-07-17,7567432
121,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2016-07-24,7567432
122,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2016-07-31,7567432
123,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2016-08-07,7567432
124,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2016-08-14,7567432
125,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2016-08-21,7567432
