,datetime,year,month,day,number_of_pushes,number_of_forks,number_of_pulls,number_of_Bookmarks,issue_comment_count,issue_author_count,commit_comment_count,commit_author_count,number_of_issues,commit_count,unique_committer_count,Total_count,Status
0,2015-06-28,2015,6,28,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7.0,
1,2015-07-05,2015,7,5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7.0,
2,2015-07-12,2015,7,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,
3,2015-07-19,2015,7,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,
4,2015-07-26,2015,7,26,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,
5,2015-08-02,2015,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
6,2015-08-09,2015,8,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
7,2015-08-16,2015,8,16,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,1.0
8,2015-08-23,2015,8,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0
9,2015-08-30,2015,8,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
10,2015-09-06,2015,9,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
11,2015-09-13,2015,9,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0
12,2015-09-20,2015,9,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
13,2015-09-27,2015,9,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
14,2015-10-04,2015,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
15,2015-10-11,2015,10,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
16,2015-10-18,2015,10,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
17,2015-10-25,2015,10,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
18,2015-11-01,2015,11,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0
19,2015-11-08,2015,11,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
20,2015-11-15,2015,11,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
21,2015-11-22,2015,11,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
22,2015-11-29,2015,11,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
23,2015-12-06,2015,12,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
24,2015-12-13,2015,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
25,2015-12-20,2015,12,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
26,2015-12-27,2015,12,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
27,2016-01-03,2016,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
28,2016-01-10,2016,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
29,2016-01-17,2016,1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
30,2016-01-24,2016,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
31,2016-01-31,2016,1,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
32,2016-02-07,2016,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
33,2016-02-14,2016,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
34,2016-02-21,2016,2,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0
35,2016-02-28,2016,2,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2016-03-06,2016,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,2016-03-13,2016,3,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,2016-03-20,2016,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,2016-03-27,2016,3,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0
40,2016-04-03,2016,4,3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,17.0,1.0
41,2016-04-10,2016,4,10,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,42.0,1.0
42,2016-04-17,2016,4,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2016-04-24,2016,4,24,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,28.0,1.0
44,2016-05-01,2016,5,1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,27.0,1.0
45,2016-05-08,2016,5,8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0
46,2016-05-15,2016,5,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2016-05-22,2016,5,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48,2016-05-29,2016,5,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
49,2016-06-05,2016,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,2016-06-12,2016,6,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0
51,2016-06-19,2016,6,19,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,22.0,1.0
52,2016-06-26,2016,6,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0
53,2016-07-03,2016,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
